ID,Name,Team,Position,GP,TOI,Goals,SH%,iSCF,iHDCF,Shot Attempts,Shots on Goal,Unblocked Shot Attempts,Got Blocked Attempt,Missed Net
612,Sammy Blais,"NYR, STL",L,71,837.6333333,9,12.86,82,41,126,70,102,24,32
613,Samuel Bolduc,NYI,D,17,244.8333333,2,10,14,0,49,20,29,20,9
614,Samuel Girard,COL,D,76,1633.616667,6,5.04,80,16,269,119,156,113,37
615,Scott Harrington,"ANA, S.J",D,45,739.7166667,4,12.12,27,5,84,33,58,26,25
616,Scott Laughton,PHI,C,78,1426.233333,18,10.59,139,63,278,170,219,59,49
617,Scott Mayfield,NYI,D,82,1721.183333,6,5.04,71,14,296,119,173,123,54
618,Sean Durzi,L.A,D,72,1424.55,9,8.18,110,19,263,110,157,106,47
619,Sean Kuraly,CBJ,C,71,1070.216667,11,11,95,46,183,100,145,38,45
620,Sean Monahan,MTL,C,25,434.1833333,6,10.91,59,29,84,55,70,14,15
621,Sean Walker,L.A,D,70,1037.95,3,3.19,65,15,185,94,128,57,34
622,Sebastian Aho,CAR,C,75,1462.166667,36,16.51,251,145,377,218,311,66,93
623,Sebastian Aho,NYI,D,71,1190.7,5,5.62,50,8,183,89,131,52,42
624,Seth Jarvis,CAR,C,82,1328.683333,14,7.49,216,129,325,187,257,68,70
625,Seth Jones,CHI,D,72,1760.483333,12,6.74,96,22,330,178,242,88,64
626,Shane Pinto,OTT,C,82,1310.266667,20,12.66,194,93,269,158,221,48,63
627,Shayne Gostisbehere,"ARI, CAR",D,75,1561.25,13,8.39,98,18,334,155,230,104,75
628,Shea Theodore,VGK,D,55,1178.816667,8,5.88,80,16,282,136,183,99,47
629,Sheldon Dries,VAN,C,63,726.45,11,11.7,107,59,161,94,129,32,35
630,Sidney Crosby,PIT,C,82,1651.766667,33,12.94,269,144,443,255,348,95,93
631,Simon Benoit,ANA,D,78,1509.233333,3,3.66,45,7,175,82,120,55,38
632,Simon Holmstrom,NYI,R,50,554.8666667,6,15.38,59,17,77,39,59,18,20
633,Sonny Milano,WSH,L,64,826.05,11,13.75,89,54,142,80,123,19,43
634,Stefan Noesen,CAR,R,78,961.9333333,13,9.7,162,119,236,134,208,28,74
635,Steven Lorentz,S.J,C,80,946.6666667,10,9.01,126,66,191,111,151,40,40
636,Steven Stamkos,T.B,C,81,1540.683333,34,14.17,287,105,449,240,343,106,103
637,T.J. Oshie,WSH,R,58,969.9666667,19,15.08,173,94,228,126,187,41,61
638,Tage Thompson,BUF,"C, R",78,1449.9,47,15.93,299,120,542,295,410,132,115
639,Tanner Jeannot,"NSH, T.B",L,76,1083.233333,6,5.61,133,71,190,107,154,36,47
640,Tanner Laczynski,PHI,C,32,304.75,2,8.7,19,6,44,23,31,13,8
641,Taylor Hall,BOS,L,61,971.6833333,16,10.67,170,81,256,150,197,59,47
642,Taylor Raddysh,CHI,R,78,1292.3,20,15.5,142,84,224,129,181,43,52
643,Teddy Blueger,"PIT, VGK",C,63,813.3166667,4,4.71,81,54,128,85,105,23,20
644,Teuvo Teravainen,CAR,L,68,1149.8,12,8.33,122,41,235,144,195,40,51
645,Thomas Chabot,OTT,D,68,1698.116667,11,6.67,109,16,355,165,228,127,63
646,Tim Berni,CBJ,D,59,1000.9,1,1.72,43,10,119,58,73,46,15
647,Tim Stützle,OTT,L,78,1658.666667,39,17.11,276,111,442,228,322,120,94
648,Timo Meier,"N.J, S.J",R,78,1512.283333,40,12.2,368,155,600,328,465,135,137
649,Timothy Liljegren,TOR,D,67,1199.866667,6,7.14,50,8,154,84,110,44,26
650,TJ Brodie,TOR,D,58,1230.616667,2,3.45,30,7,101,58,74,27,16
651,Tom Wilson,WSH,R,33,581.3666667,13,15.85,85,51,141,82,110,31,28
652,Tomas Hertl,S.J,C,79,1523.216667,22,12.02,249,140,342,183,256,86,73
653,Tomas Nosek,BOS,L,66,828.4666667,7,10.14,70,34,112,69,92,20,23
654,Tomas Tatar,N.J,L,82,1239.6,20,13.07,196,104,276,153,215,61,62
655,Tommy Novak,NSH,C,51,747.3166667,17,18.28,102,34,159,93,121,38,28
656,Tony DeAngelo,PHI,D,70,1544.1,11,6.32,75,15,287,174,216,71,42
657,Torey Krug,STL,D,63,1170.766667,7,5.56,83,8,251,126,179,72,53
658,Travis Boyd,ARI,C,82,1355.483333,15,15.96,128,81,168,94,134,34,40
659,Travis Hamonic,OTT,D,75,1392.016667,6,4.41,62,11,277,136,180,97,44
660,Travis Konecny,PHI,R,60,1206.983333,31,16.23,207,88,358,191,272,86,81
661,Travis Sanheim,PHI,D,81,1652.616667,7,6.31,78,23,206,111,152,54,41
662,Trent Frederic,BOS,C,79,941.5,17,14.17,130,63,189,120,161,28,41
663,Trevor Lewis,CGY,C,82,993.7333333,9,6.25,109,52,224,144,188,36,44
664,Trevor Moore,L.A,"C, L",59,1002.316667,10,6.13,136,75,264,163,218,46,55
665,Trevor van Riemsdyk,WSH,D,75,1429.9,7,7.22,49,11,194,97,127,67,30
666,Trevor Zegras,ANA,C,81,1525,23,12.5,196,52,369,184,257,112,73
