ID,Name,Team,Position,GP,TOI,Goals,SH%,iSCF,iHDCF,Shot Attempts,Shots on Goal,Unblocked Shot Attempts,Got Blocked Attempt,Missed Net
667,Troy Stecher,"ARI, CGY",D,81,1325.9,3,3.41,58,12,181,88,113,68,25
668,Troy Terry,ANA,R,70,1355.266667,23,12.23,247,109,352,188,283,69,95
669,Ty Dellandrea,DAL,C,82,1164.433333,9,9.78,110,46,174,92,134,40,42
670,Tyler Bertuzzi,"BOS, DET",L,50,824.4166667,8,7.48,110,59,181,107,145,36,38
671,Tyler Johnson,CHI,C,56,927.7166667,12,9.6,137,55,216,125,173,43,48
672,Tyler Motte,"NYR, OTT","C, L",62,779.5,8,7.34,105,58,184,109,140,44,31
673,Tyler Myers,VAN,D,78,1630.7,1,1,68,10,218,100,142,76,42
674,Tyler Pitlick,STL,C,61,614.6166667,7,12.96,60,27,96,54,79,17,25
675,Tyler Seguin,DAL,C,76,1262.933333,21,11.11,206,91,303,189,254,49,65
676,Tyler Toffoli,CGY,R,82,1362.1,34,12.69,254,91,477,268,365,112,97
677,Tyler Tucker,STL,D,26,380.6833333,1,4.76,12,1,54,21,27,27,6
678,Tyson Barrie,"EDM, NSH",D,85,1681.166667,13,7.98,75,17,329,163,220,109,57
679,Tyson Jost,"BUF, MIN",C,71,940.3,7,7.14,118,55,174,98,142,32,44
680,Urho Vaakanainen,ANA,D,23,378.5333333,0,0,13,1,58,27,40,18,13
681,Valeri Nichushkin,COL,R,53,1074.366667,17,10.76,168,83,257,158,210,47,52
682,Vasily Podkolzin,VAN,R,39,461.6666667,4,9.76,45,25,70,41,63,7,22
683,Victor Hedman,T.B,D,76,1802.65,9,4.86,133,17,397,185,284,113,99
684,Victor Olofsson,BUF,L,75,1076.633333,28,17.39,130,37,273,161,209,64,48
685,Victor Soderstrom,ARI,D,30,485.15,0,0,20,6,78,31,44,34,13
686,Viktor Arvidsson,L.A,"L, R",77,1316.4,26,11.4,236,89,418,228,315,103,87
687,Vince Dunn,SEA,D,81,1917.216667,14,9.33,103,11,335,150,226,109,76
688,Vincent Desharnais,EDM,D,36,487.65,0,0,17,0,48,17,27,21,10
